method,sample_k,sample_count,squared_error,log_squared_error,flops,propagation_flops,elapsed_seconds,covariance_seconds,propagation_seconds
rank0_optimal_sum_le_k,1,2,8.776770365662035,2.1721085000755154,22254568094,22254338462,31.197731018066406,0.08698081970214844,31.104966402053833
rank0_optimal_sum_le_k,2,4,8.747428934072529,2.1687598210852395,22254764702,22254338462,0.10349369049072266,0.00043392181396484375,0.10276627540588379
rank0_optimal_sum_le_k,3,8,8.708345228779745,2.1642817876002094,22255157918,22254338462,0.10210132598876953,0.00031304359436035156,0.10155820846557617
rank0_optimal_sum_le_k,4,16,8.226460536644854,2.1073558537316033,22255944350,22254338462,0.10179805755615234,0.00025177001953125,0.10133051872253418
rank0_optimal_sum_le_k,5,32,9.203661450697979,2.219601388651979,22257517214,22254338462,0.1021583080291748,0.0003058910369873047,0.10163569450378418
rank0_optimal_sum_le_k,6,64,5.959453398429048,1.7849787651985072,22260662942,22254338462,0.10143065452575684,0.0002837181091308594,0.10092926025390625
rank0_optimal_sum_le_k,7,128,6.493647829315333,1.8708244420461995,22266954398,22254338462,0.10171842575073242,0.0002789497375488281,0.1012270450592041
rank0_optimal_sum_le_k,8,256,4.689537758015378,1.54533401854237,22279537310,22254338462,0.10176873207092285,0.00048232078552246094,0.10106730461120605
rank0_optimal_sum_le_k,9,512,2.9249650530850753,1.0732825329492237,22304703134,22254338462,0.10144281387329102,0.00042366981506347656,0.10078907012939453
rank0_optimal_sum_le_k,10,1024,2.4114845616985443,0.8802425585567989,22355034782,22254338462,0.10118651390075684,0.0004367828369140625,0.10051798820495605
rank0_optimal_sum_le_k,11,2048,1.0901774035692493,0.0863404385659204,22455698078,22254338462,0.10148406028747559,0.00027441978454589844,0.10099387168884277
rank0_optimal_sum_le_k,12,4096,0.8059505079224059,-0.215732942923618,22657024670,22254338462,0.1012423038482666,0.00045752525329589844,0.10056805610656738
rank0_optimal_sum_le_k,13,8192,0.44944814142397493,-0.799734801194385,23059677854,22254338462,0.10105323791503906,0.0005168914794921875,0.10031962394714355
rank0_optimal_sum_le_k,14,16384,0.11139824765371908,-2.194643681830636,23864984222,22254338462,0.10101866722106934,0.0005447864532470703,0.10026025772094727
rank0_optimal_sum_le_k,15,32768,0.15396370280931207,-1.8710384003926137,25475596958,22254338462,0.1007392406463623,0.0007588863372802734,0.09975028038024902
rank0_optimal_sum_le_k,16,65536,0.06360186010465547,-2.7551125621351984,28696822430,22254338462,0.10036540031433105,0.0011620521545410156,0.09897947311401367
rank0_optimal_sum_le_k,17,131072,0.04495839578608696,-3.1020177549477164,35139273374,22254338462,0.10078835487365723,0.002143383026123047,0.09842801094055176
rank0_optimal_sum_le_k,18,262144,0.02940601137481185,-3.526556157007327,48024175262,22254338462,0.10296940803527832,0.0040509700775146484,0.09869837760925293
rank0_optimal_sum_le_k,19,524288,0.030329522793722023,-3.4956336912095125,73793979038,22254338462,0.10659408569335938,0.007885456085205078,0.09848690032958984
rank0_optimal_sum_le_k,20,1048576,0.022367519416611647,-3.8001453984704,125333586590,22254338462,0.11436676979064941,0.01556396484375,0.09857463836669922
rank0_optimal_sum_le_k,21,2097152,0.021865842252047837,-3.8228295742989937,228412801694,22254338462,0.12988591194152832,0.03073740005493164,0.0989229679107666
rank0_optimal_sum_le_k,22,4194304,0.02245665131548294,-3.7961684362692907,434571231902,22254338462,0.1590409278869629,0.06117415428161621,0.09763646125793457
rank0_optimal_sum_le_k,23,8388608,0.021748376800915115,-3.8282161540753723,846888092318,22254338462,0.2063758373260498,0.10866570472717285,0.09747433662414551
rank0_optimal_sum_le_k,24,16777216,0.02305623951663817,-3.7698188513057276,1671521813150,22254338462,0.31470465660095215,0.21686291694641113,0.09760379791259766
rank0_optimal_sum_le_k,25,33554432,0.02244077953616328,-3.7968754602428123,3320789254814,22254338462,0.5317325592041016,0.433180570602417,0.09831857681274414
