layer,ICA,Gaussian
0,30.008665270077216,127.51180304223007
1,61.73522891190516,85.47928974941551
2,50.82671493991251,60.46052945208317
3,40.90787150985176,44.646494242474404
4,30.902623907453577,32.19747607040911
5,26.89557912610921,28.117290983993435
6,21.364649988703583,21.959582689180017
7,17.38491139257718,17.671235811734938
8,12.407151652694624,12.597830597092289
