layer,index,singular_value
0,124,3.788724967446014e-05
0,125,3.72096788925508e-05
0,126,3.571757543724337e-05
0,127,3.4968180924612045e-05
0,128,3.1619545677634e-05
1,1,3307.7307604861976
1,2,1166.877193618462
1,3,1117.981540704554
1,4,1101.91021908312
1,5,1050.681457410838
1,6,1027.7569684318803
1,7,966.9077462522725
1,8,948.093874670439
1,9,912.0719320278296
1,10,876.5908098390013
1,11,834.9949957439139
1,12,806.5946899064359
1,13,780.5661239819428
1,14,761.0980474255896
1,15,722.7584452244316
1,16,696.2409816062996
1,17,678.1093773042297
1,18,663.152562646358
1,19,632.5375827236434
1,20,620.0152065044732
1,21,580.8417022268486
1,22,577.3775161787876
1,23,551.4373006113058
1,24,540.7386332365696
1,25,524.4522557291878
1,26,512.4296338363682
1,27,477.2113517572316
1,28,458.14167274574334
1,29,448.48168620456835
1,30,429.79402597104803
1,31,411.2281130788634
1,32,386.3378587602883
1,33,363.6419966980631
1,34,332.8257650214042
1,35,318.04996550915934
1,36,309.82951256607555
1,37,301.4761972491372
1,38,293.91118123334644
1,39,290.42727926912187
1,40,287.39647036307946
1,41,285.55579899916785
1,42,280.6186306979608
1,43,275.92131297184983
1,44,273.6969898083911
1,45,268.6270553159276
1,46,265.9502623954678
1,47,264.9250606072101
1,48,263.1872994738738
1,49,259.22050361110064
1,50,257.3027681394854
1,51,253.08985291639618
1,52,252.04891577555566
1,53,251.10161829776638
1,54,249.01411637211604
1,55,246.12049714413905
1,56,243.5821886279627
1,57,240.79044641964498
1,58,237.79334201582276
1,59,234.76628337466576
1,60,233.8148761946449
1,61,233.06100723148757
1,62,232.04798340830087
1,63,229.5106174568278
1,64,227.1625129843566
1,65,224.65373493530467
1,66,220.7988365570841
1,67,220.09755129940504
1,68,218.951811310796
1,69,216.899553190913
1,70,213.90411259225516
1,71,212.09897588535588
1,72,210.32523724429728
1,73,208.37018953989605
1,74,207.54573036454423
1,75,204.0957993441982
1,76,202.88100756985088
1,77,201.73490073768306
1,78,199.01499032743223
1,79,198.3296934935522
1,80,194.9351310590543
1,81,193.51509895803076
1,82,192.2300922739006
1,83,191.00608956074348
1,84,188.7409020809045
1,85,186.74190397465136
1,86,184.96040119481125
1,87,181.91461682818604
1,88,181.3677047742517
1,89,178.98041276414793
1,90,178.0514771841661
1,91,175.99229427774637
1,92,174.07149755445604
1,93,173.42096044732043
1,94,173.0239366114732
1,95,171.76983387087935
1,96,169.65057154566364
1,97,169.5147807739702
1,98,166.5836620211895
1,99,165.50589756935915
1,100,163.60479316667792
1,101,161.95514296924625
1,102,160.5522183131313
1,103,159.66224931388626
1,104,159.00168389416262
1,105,157.21469649234186
1,106,155.30446001712687
1,107,153.65222654162292
1,108,152.99251025733432
1,109,150.58092826731453
1,110,148.68043190051844
1,111,148.1321690209534
1,112,143.82522491504682
1,113,143.41233467157085
1,114,143.08001144476904
1,115,141.10255044613675
1,116,139.07291280843938
1,117,138.56624985923108
1,118,135.18944960476423
1,119,133.29718493012882
1,120,132.24968548004423
1,121,128.78826016656035
1,122,127.82146903680395
1,123,126.66508247114345
1,124,125.12179940778124
1,125,121.15216334031683
1,126,116.64781240077805
1,127,111.30030399198745
1,128,108.47043680580127
2,1,3902.449664832961
2,2,1137.5157610429494
2,3,1084.6407736477795
2,4,984.7193288265922
2,5,896.4163184907862
2,6,880.5328068584921
2,7,827.9057839323019
2,8,772.2739602477163
2,9,768.3120051084582
2,10,695.1311435514358
2,11,675.2212799282751
2,12,629.9848424538861
2,13,616.9722590486381
2,14,596.8160124155363
2,15,576.4899006398811
2,16,560.0996392373011
2,17,536.9475963111038
2,18,508.618173191097
2,19,499.8726261575614
2,20,464.3659264004941
