method,sample_k,sample_count,squared_error,log_squared_error,flops,elapsed_seconds,covariance_seconds,propagation_seconds
hard2_k4,1,2,8.709183661808158,2.1643780622249653,85006709118,31.483293056488037,0.002631664276123047,31.480093002319336
hard2_k4,2,4,8.674403535550256,2.160376566760168,85006774654,0.7205119132995605,0.0003147125244140625,0.7199704647064209
hard2_k4,3,8,8.665772447377748,2.1593810648813165,85006905726,0.7190303802490234,0.00040340423583984375,0.7183883190155029
hard2_k4,4,16,8.164388206194893,2.099781794796373,85007167870,0.715130090713501,0.00026488304138183594,0.7145586013793945
hard2_k4,5,32,9.16501002686141,2.2153929753294124,85007692158,0.7175543308258057,0.00036406517028808594,0.7169640064239502
hard2_k4,6,64,5.947730826243252,1.7830097730754484,85008740734,0.7245845794677734,0.00029206275939941406,0.7240629196166992
hard2_k4,7,128,6.44738445155601,1.8636745371790395,85010837886,0.7327055931091309,0.00034117698669433594,0.7321312427520752
hard2_k4,8,256,4.591781985232583,1.524268180806696,85015032190,0.7248380184173584,0.0006172657012939453,0.7239739894866943
hard2_k4,9,512,2.8842171267391996,1.0592535032528816,85023420798,0.7224690914154053,0.000553131103515625,0.7216682434082031
hard2_k4,10,1024,2.432286812243969,0.8888318898165161,85040198014,0.7203471660614014,0.0004775524139404297,0.7196428775787354
hard2_k4,11,2048,1.1078609739034029,0.10243110563604535,85073752446,0.7227537631988525,0.00043487548828125,0.7220661640167236
hard2_k4,12,4096,0.7600942281083927,-0.27431286903403673,85140861310,0.725177526473999,0.00039768218994140625,0.7245521545410156
hard2_k4,13,8192,0.40369502313579,-0.9070955793245993,85275079038,0.7290425300598145,0.00029540061950683594,0.7285232543945312
hard2_k4,14,16384,0.09860441838317208,-2.316639207189181,85543514494,0.7227776050567627,0.00033473968505859375,0.722214937210083
hard2_k4,15,32768,0.13778635972852768,-1.9820509113068958,86080385406,0.7300434112548828,0.0005855560302734375,0.7291827201843262
hard2_k4,16,65536,0.06149697008798926,-2.78876737224528,87154127230,0.7274200916290283,0.0010881423950195312,0.7260899543762207
hard2_k4,17,131072,0.028737396090588462,-3.5495560047118677,89301610878,0.7283954620361328,0.0019621849060058594,0.7261860370635986
hard2_k4,18,262144,0.011592385717956654,-4.457406800021424,93596578174,0.734288215637207,0.0038635730743408203,0.7301738262176514
hard2_k4,19,524288,0.018232281181714445,-4.004561564729286,102186512766,0.7315642833709717,0.0073680877685546875,0.7239522933959961
hard2_k4,20,1048576,0.009134275279579891,-4.695721426773326,119366381950,0.7361221313476562,0.014481306076049805,0.7214009761810303
hard2_k4,21,2097152,0.007728655295506777,-4.862820390699577,153726120318,0.7519445419311523,0.030061721801757812,0.7216317653656006
hard2_k4,22,4194304,0.008349744522478515,-4.785524336697801,222445597054,0.7794961929321289,0.056084394454956055,0.7231662273406982
hard2_k4,23,8388608,0.008289391198928157,-4.79277875053789,359884550526,0.8372352123260498,0.10904431343078613,0.7278280258178711
hard2_k4,24,16777216,0.008765348674815102,-4.736948981044754,634762457470,0.947270393371582,0.21729016304016113,0.729572057723999
hard2_k4,25,33554432,0.008631730435065273,-4.752310280074482,1184518271358,1.1591696739196777,0.4340195655822754,0.7248101234436035
