layer,index,singular_value
0,1,101.49184139798017
0,2,101.2987806181539
0,3,100.46942599669445
0,4,100.37538352574457
0,5,100.0418618322194
0,6,99.88715916486196
0,7,99.69394508497452
0,8,99.15766577952274
0,9,99.10108546620545
0,10,98.8378817062395
0,11,98.50012002038582
0,12,98.46548758590417
0,13,98.17931060283145
0,14,98.04002896005969
0,15,97.83579823142706
0,16,97.39828679513018
0,17,97.25520890565033
0,18,97.23774503129114
0,19,97.0983225288454
0,20,96.88904140773087
0,21,96.7365709629696
0,22,96.46756248439131
0,23,96.31320417903488
0,24,96.1704995512573
0,25,95.93279559772162
0,26,95.80627781590735
0,27,95.67850395481203
0,28,95.45051934476191
0,29,95.2439412374954
0,30,95.09710648202001
0,31,94.94990991860726
0,32,94.69080826483976
0,33,94.59380183987024
0,34,94.39989430742781
0,35,94.31872908292844
0,36,94.16524301721705
0,37,94.07894696299552
0,38,93.94742296668056
0,39,93.81064259206288
0,40,93.66812155127018
0,41,93.42414747936569
0,42,93.40028258371062
0,43,93.19457198786847
0,44,92.94235104656079
0,45,92.81898442522804
0,46,92.80134071797882
0,47,92.67272739847702
0,48,92.49750080061347
0,49,92.37352153639543
0,50,92.14592122420531
0,51,92.08714585226198
0,52,91.99314856074382
0,53,91.72462173231685
0,54,91.53662980499232
0,55,91.39437963094889
0,56,91.3804696452438
0,57,91.27884491020075
0,58,91.21103462285397
0,59,91.18662541792276
0,60,90.97531586359327
0,61,90.76031094408883
0,62,90.63534769922263
0,63,90.4420737246663
0,64,90.3225907899136
0,65,90.20611737791214
0,66,90.02537621166253
0,67,90.01868863770731
0,68,89.80040065560564
0,69,89.74079280524512
0,70,89.61025635295482
0,71,89.30241910622537
0,72,89.22448519774198
0,73,88.96201035916263
0,74,88.86377509275779
0,75,88.75249384207225
0,76,88.5088976296768
0,77,88.40532407589357
0,78,88.33604697562457
0,79,88.15702744267254
0,80,88.10228347641707
0,81,87.86392536379677
0,82,87.80914541537597
0,83,87.62869112746122
0,84,87.5734914539592
0,85,87.41704396762314
0,86,87.28041972514639
0,87,87.04396631349803
0,88,86.9444251692988
0,89,86.82940937248908
0,90,86.5801602992824
0,91,86.48296321498275
0,92,86.33180719117091
0,93,86.29165010147567
0,94,86.07299828248664
0,95,86.01749073431783
0,96,85.8333500465578
0,97,85.7850623982769
0,98,85.53599795937181
0,99,85.42924370012157
0,100,85.21234360605897
0,101,85.1163155359116
0,102,84.92257711381316
0,103,84.67147146797312
0,104,84.63068903729217
0,105,84.52993466468769
0,106,84.38637909778205
0,107,84.07331091225215
0,108,84.02379914525442
0,109,83.88601131859915
0,110,83.79115012883987
0,111,83.65562884183726
0,112,83.5393278700657
0,113,83.43218238211982
0,114,83.15556391115592
0,115,83.10546839354284
0,116,82.99757475764339
0,117,82.68397060471564
0,118,82.43814373433231
0,119,82.02073509648353
0,120,81.88110330137167
0,121,81.6799064543274
0,122,81.66116386299043
0,123,81.254484347837
0,124,81.05141540624822
0,125,80.70414232605877
0,126,80.25519981825951
0,127,80.20417811827069
0,128,79.82565480971402
1,1,587.2674379646076
1,2,138.1420375164752
1,3,132.88631881577075
1,4,130.73266606914234
1,5,127.480945936048
1,6,124.89449348500756
1,7,123.8738423273929
1,8,122.46410085215832
1,9,119.27000368537215
1,10,118.89076923610493
1,11,118.29667346672191
1,12,115.1540825707665
1,13,114.5264727446916
1,14,112.8758699974138
1,15,111.97493952983305
1,16,111.00684587374892
1,17,109.56355870098983
1,18,107.91696356423098
1,19,107.38105307003804
1,20,106.36895222161681
1,21,106.04147515992219
1,22,103.99320020816057
1,23,103.10434401521765
1,24,100.23544469872847
1,25,99.76200271981233
1,26,98.78290967487851
1,27,98.42508568953447
1,28,96.93887567233557
1,29,96.22294700912839
1,30,95.38722971846045
1,31,92.29592148600919
1,32,91.69360092385787
1,33,90.97647379261407
1,34,89.79284921376808
1,35,89.59273090442515
1,36,88.18654376512967
1,37,88.02036130475948
1,38,87.69783338277608
1,39,86.51388127337717
1,40,85.77434863451785
1,41,84.88173192181073
1,42,83.86508487459805
1,43,83.04561866434999
1,44,82.53572115247408
1,45,81.996991101198
1,46,80.1882501631151
1,47,79.6454233220796
1,48,79.41338433926772
1,49,78.23871862698822
1,50,77.01654576947476
1,51,76.0854139523831
1,52,75.78834575845508
1,53,74.87076487122059
1,54,73.63744813230045
1,55,73.39031714233289
1,56,72.19461164424729
1,57,71.35460172531042
1,58,70.63106495547987
1,59,70.32152402737306
1,60,69.02509409666227
1,61,68.59410266689748
1,62,67.8203354716366
1,63,67.47458098491336
1,64,66.03573609547509
1,65,65.5138600574054
1,66,65.12054574752868
1,67,64.50740674367636
1,68,63.142254640439596
1,69,62.59937808237552
1,70,62.56494800155058
1,71,61.25117795252593
1,72,61.15228140184205
1,73,60.17492109786044
1,74,59.10813928012882
1,75,58.50761575074884
1,76,57.94236533098874
1,77,57.46908975006698
1,78,56.412934420855585
1,79,55.534333024547806
1,80,55.46253803920569
1,81,54.82710431310945
1,82,53.98595867021878
1,83,53.90940980349468
1,84,53.47469254771804
1,85,52.837841737837955
1,86,52.02666318602633
1,87,51.56937822009053
1,88,51.29852762577932
1,89,50.675196595306524
