layer,effective_rank,nuclear_norm,frobenius_norm_squared,top_singular_value,numerical_rank
0,127.51180304223007,11561.532234296961,1048287.4872408354,101.49184139798017,128
1,85.47928974941551,9623.947116896043,1083541.5032147593,587.2674379646076,128
2,60.46052945208317,7869.137389529384,1024194.1944019108,700.6176927904696,128
3,44.646494242474404,6746.635711941123,1019499.8331209768,767.6556370508174,128
4,32.19747607040911,5754.89302415167,1028614.5922433707,834.6335375786384,127
5,28.117290983993435,5158.67211370101,946460.2401357237,815.9421810441042,125
6,21.959582689180017,4785.250077541139,1042761.9972892356,892.2369882035982,124
7,17.671235811734938,4491.099867764477,1141401.6674962724,963.4894087428468,121
8,12.597830597092289,3756.0908992374834,1119892.7255452198,981.6020136972166,110
