k,m,run,seed_base,squared_error,log_squared_error
13,8192,8,9130000,0.1729419420009578,-1.7547993361792724
13,8192,9,10130000,0.10554837779596854,-2.2485858738635294
14,16384,0,1140000,0.04442326263417955,-3.113992013546794
14,16384,1,2140000,0.0429376233228258,-3.148006836856368
14,16384,2,3140000,0.04669263752956007,-3.064168781349355
14,16384,3,4140000,0.025440993317003863,-3.671393495792759
14,16384,4,5140000,0.04763555060198875,-3.0441759351206206
14,16384,5,6140000,0.052360458344575256,-2.9496035842626465
14,16384,6,7140000,0.07868672190574935,-2.542280855636319
14,16384,7,8140000,0.044783995462990056,-3.1059044475177697
14,16384,8,9140000,0.03441331230272244,-3.3693118039181207
14,16384,9,10140000,0.07509421505421532,-2.5890117530829273
15,32768,0,1150000,0.01749808690862055,-4.0456637235358786
15,32768,1,2150000,0.01586989542434488,-4.143331333983811
15,32768,2,3150000,0.03386727557381396,-3.3853060531257446
15,32768,3,4150000,0.02826107637442868,-3.56626981418398
15,32768,4,5150000,0.01350094530417481,-4.304995573457749
15,32768,5,6150000,0.024105921964149665,-3.7252977440173725
15,32768,6,7150000,0.05635283176622102,-2.8761227865873757
15,32768,7,8150000,0.021282366224579678,-3.8498764259262903
15,32768,8,9150000,0.018099466797133368,-4.011872799866187
15,32768,9,10150000,0.021305973079084075,-3.84876781933077
16,65536,0,1160000,0.0063761896504199375,-5.05518459351689
16,65536,1,2160000,0.013621188718433822,-4.296128704651174
16,65536,2,3160000,0.008776260251730606,-4.735704901511509
16,65536,3,4160000,0.009482220555674315,-4.6583367543135115
16,65536,4,5160000,0.01365683886422705,-4.293514867123337
16,65536,5,6160000,0.025795200178276165,-3.6575668439637776
16,65536,6,7160000,0.02553585689718812,-3.6676716616939387
16,65536,7,8160000,0.015308120148161866,-4.179371862732349
16,65536,8,9160000,0.005575954635696644,-5.189291741192474
16,65536,9,10160000,0.006107253452605274,-5.098278123620126
